code	name	ptspa	opening	closing
McDo_VC	McDonald's Vito Cruz	58031	0000	2359
Subway	Subway	61230	0700	2115	
SB_GC	Starbucks GC	05338	0600	2300
SB_CSB	Starbucks CSB	63412	0730	0000
SB_1T	Starbucks 1T 	05550	0630	2300
ZC_OAP	Zus Coffee One Archer's Place	91549	0700	2240
ZC_UM	Zus Coffee UMall 	75634	0600	2140
CoffeeSt	Coffee Street	56134	0630	2330
PC_GM	Potato Corner Green Mall 	00496	0900	2300
PC_B	Potato Corner Bloemen	30589	0900	1700
PC_UM	Potato Corner UMall	45188	1000	2100
Belgan	Belgan Waffle Bloemen	28950	0900	1700
McDo_Q	McDonald's Quirino	84346	0000	2359
JB_M	Jollibee Malate	17164	0000	2359
JB_VC	Jollibee Vito Cruz	47613	0900	1700
JB_Q	Jollibee Quirino 	62039	0000	2359
Prelude	Prelude Coffee	89726	0800	2300
C24	24 Chicken	12569	1000	2200
Infinit_OAP	InfiniTea One Archer's Place 	89412	1100	0100
Infinit_B	InfiniTea Bloemen	71985	0900	1700
LaToca	La Toca Taqueria	82146	1100	0200
Barn	Barn by Borro	20648	1000	0000
KFC	KFC	74146	0000	2359
BonChon	Bon Chon 	01987	1000	2100
MangIn	Mang Inasal	41463	0900	2200
Kuh	KuhMeal	59726	1000	2100
EBC	Everything But Cheese!	01954	1100	0000
ElPoco	El Poco Loco	94203	1000	2230
OTW	On The Way Malate	12345	1000	2200
TimHort	Tim Hortons	72604	0700	2100
BOK	Bok Fried Chicken	19540	1030	0300