a	b	distance
PC_B	Belgan	13.31
PC_B	CoffeeSt	116.40
Prelude	SB_GC	71.32
SB_GC	PC_GM	78.09
Subway	SB_GC	18.35
Subway	Prelude	47.21
CoffeeSt	Prelude	4.12
C24	CoffeeSt	44.63
Infinit_B	Belgan	6.69
Infinit_B	PC_B	12.49
Subway	Infinit_OAP	29.40
ZC_OAP	Infinit_OAP	34.25
Infinit_OAP	JB_M	56.29
PC_B	McDo_VC	266.40
McDo_VC	KFC	23.18
BonChon	KFC	23.47
BonChon	PC_UM	11.70
PC_UM	KFC	6.10
PC_UM	ZC_UM	12.63
C24	McDo_VC	294.62
SB_1T	ZC_UM	72.63
SB_1T	JB_VC	46.39
MangIn	JB_VC	29.92
MangIn	SB_CSB	136.39
Kuh	SB_CSB	142.80
Kuh	PC_B	176.51
PC_GM	Barn	39.85
PC_GM	LaToca	22.62
LaToca	SB_GC	104.92
PC_GM	Subway	87.84
JB_Q	McDo_Q	49.55
EBC	JB_Q	297.63
EBC	JB_M	59.31
EBC	PC_GM	99.39
Kuh	JB_M	229.65
JB_M	Prelude	120.31
PC_B	C24	69.71